Code,Meaning,Comments
"6","Central Utah (Abraham)",""
"2","Colorado River (Poston, Parker)",""
"3","Gila River (Pima, Sacaton)",""
"8","Granada (X-Y Granada)",""
"7","Heart Mountain (Cody)",""
"0","Jerome",""
"1","Manzanar",""
"5","Minidoka (Gooding)",""
"9","Rohwer",""
"4","Tule Lake",""
