Code,Meaning,Comments
"5","1-8 & 13 OR MORE YEARS OF SCHOOL ONLY",""
"4","1-8 & 9-12 YEARS OF SCHOOL ONLY",""
"1","1-8 YEARS OF SCHOOL ONLY",""
"7","1-8, 9-12 & 13 OR MORE YEARS OF SCHOOL ONLY",""
"3","13 OR MORE YEARS OF SCHOOL ONLY",""
"6","9-12 & 13 OR MORE YEARS OF SCHOOL ONLY",""
"2","9-12 YEARS OF SCHOOL ONLY",""
"0","NONE",""
"&","UNKNOWN",""
