Code,Meaning,Comments
"5","1,000,000 - or more",""
"3","10,000 - 24,999",""
"4","25,000 - 999,999",""
"1","2500 - 4999",""
"2","5000 - 9999",""
"0","Incorporated cities of less than 2500 population All unincorporated areas",""
"&","Unknown",""
